price,size,tp_buy_side,tp_sell_side,status,ticket
1.06055,0.02,1.0606,1.0604999999999998,pending_sell,419478556.0
1.0606,0.02,1.06065,1.06055,pending_sell,419478558.0
1.06065,0.02,1.0607,1.0605999999999998,pending_sell,419478561.0
1.0607,0.02,1.06075,1.06065,pending_sell,419478563.0
1.06075,0.02,1.0608,1.0606999999999998,pending_sell,419478564.0
1.0608,0.02,1.06085,1.06075,pending_sell,419478565.0
1.0608499999999998,0.02,1.0609,1.0607999999999995,pending_sell,419478568.0
1.0609,0.02,1.06095,1.0608499999999998,pending_sell,419478571.0
1.0609499999999998,0.02,1.061,1.0608999999999995,pending_sell,419478572.0
1.061,0.02,1.06105,1.0609499999999998,pending_sell,419478573.0
1.06105,0.02,1.0611000000000002,1.061,pending_sell,419478574.0
1.0611,0.02,1.06115,1.0610499999999998,pending_sell,419478576.0
1.06115,0.02,1.0612,1.0611,pending_sell,419478579.0
1.0612,0.02,1.06125,1.0611499999999998,pending_sell,419478580.0
1.06125,0.02,1.0613,1.0612,pending_sell,419478581.0
1.0613,0.02,1.06135,1.0612499999999998,pending_sell,419478583.0
1.06135,0.02,1.0614,1.0613,pending_sell,419478585.0
1.0614,0.02,1.06145,1.0613499999999998,pending_sell,419478586.0
1.06145,0.02,1.0615,1.0614,pending_sell,419478587.0
1.0615,0.02,1.06155,1.0614499999999998,pending_sell,419478590.0
1.06155,0.02,1.0616,1.0615,pending_sell,419478591.0
1.0616,0.02,1.06165,1.0615499999999998,pending_sell,419478592.0
1.06165,0.02,1.0617,1.0616,pending_sell,419478593.0
1.0617,0.02,1.06175,1.0616499999999998,pending_sell,419478595.0
1.06175,0.02,1.0618,1.0617,pending_sell,419478596.0
1.0618,0.02,1.06185,1.0617499999999995,pending_sell,419478597.0
1.06185,0.02,1.0619,1.0618,pending_sell,419478598.0
1.0618999999999998,0.02,1.06195,1.0618499999999995,pending_sell,419478600.0
1.06195,0.02,1.062,1.0618999999999998,pending_sell,419478602.0
1.0619999999999998,0.02,1.06205,1.0619499999999995,pending_sell,419478604.0
1.06205,0.02,1.0621,1.0619999999999998,pending_sell,419478606.0
1.0621,0.02,1.06215,1.06205,pending_sell,419478608.0
1.06215,0.02,1.0622,1.0620999999999998,pending_sell,419478610.0
1.0622,0.02,1.06225,1.06215,pending_sell,419478612.0
1.06225,0.02,1.0623,1.0621999999999998,pending_sell,419478614.0
1.0623,0.02,1.06235,1.06225,pending_sell,419478617.0
1.06235,0.02,1.0624,1.0622999999999998,pending_sell,419478618.0
1.0624,0.02,1.06245,1.06235,pending_sell,419478619.0
1.06245,0.02,1.0625,1.0623999999999998,pending_sell,419478622.0
1.0625,0.02,1.06255,1.06245,pending_sell,419478623.0
1.06255,0.02,1.0626,1.0624999999999998,pending_sell,419478626.0
1.0626,0.02,1.06265,1.06255,pending_sell,419478628.0
1.06265,0.02,1.0627,1.0625999999999998,pending_sell,419478629.0
1.0627,0.02,1.06275,1.06265,pending_sell,419478630.0
1.06275,0.02,1.0628,1.0626999999999998,pending_sell,419478631.0
1.0628,0.02,1.06285,1.06275,pending_sell,419478633.0
1.06285,0.02,1.0629,1.0627999999999995,pending_sell,419478634.0
1.0629,0.02,1.06295,1.06285,pending_sell,419478636.0
1.0629499999999998,0.02,1.063,1.0628999999999995,pending_sell,419478637.0
1.063,0.02,1.06305,1.0629499999999998,pending_sell,419478640.0
1.0630499999999998,0.02,1.0631,1.0629999999999995,pending_sell,419478641.0
1.0631,0.02,1.06315,1.0630499999999998,pending_sell,419478643.0
1.06315,0.02,1.0632,1.0631,pending_sell,419477995.0
1.0632,0.02,1.06325,1.0631499999999998,pending_sell,419477996.0
1.06325,0.02,1.0633,1.0632,pending_sell,419477998.0
1.0633,0.02,1.06335,1.0632499999999998,pending_sell,419477999.0
1.06335,0.02,1.0634,1.0633,pending_sell,419478002.0
1.0634,0.02,1.06345,1.0633499999999998,pending_sell,419478005.0
1.06345,0.02,1.0635,1.0634,pending_sell,419478007.0
1.0635,0.02,1.06355,1.0634499999999998,pending_sell,419478009.0
1.06355,0.02,1.0636,1.0635,pending_sell,419478010.0
1.0636,0.02,1.06365,1.0635499999999998,pending_sell,419478011.0
1.06365,0.02,1.0637,1.0636,pending_sell,419478013.0
1.0637,0.02,1.06375,1.0636499999999998,pending_sell,419478014.0
1.06375,0.02,1.0638,1.0637,pending_sell,419478017.0
1.0638,0.02,1.06385,1.0637499999999998,pending_sell,419478018.0
1.06385,0.02,1.0639,1.0638,pending_sell,419478020.0
1.0638999999999998,0.02,1.06395,1.0638499999999995,pending_sell,419478022.0
1.06395,0.02,1.064,1.0638999999999998,pending_sell,419478024.0
1.0639999999999998,0.02,1.06405,1.0639499999999995,pending_sell,419478026.0
1.06405,0.02,1.0641,1.0639999999999998,pending_sell,419478027.0
1.0641,0.02,1.0641500000000002,1.06405,pending_sell,419478029.0
1.06415,0.02,1.0642,1.0640999999999998,pending_sell,419478030.0
1.0642,0.02,1.06425,1.06415,pending_sell,419478031.0
1.06425,0.02,1.0643,1.0641999999999998,pending_sell,419478032.0
1.0643,0.02,1.06435,1.06425,pending_sell,419478034.0
1.06435,0.02,1.0644,1.0642999999999998,pending_sell,419478036.0
1.0644,0.02,1.06445,1.06435,pending_sell,419478038.0
1.06445,0.02,1.0645,1.0643999999999998,pending_sell,419478040.0
1.0645,0.02,1.06455,1.06445,pending_sell,419478044.0
1.06455,0.02,1.0646,1.0644999999999998,pending_sell,419478045.0
1.0646,0.02,1.06465,1.06455,pending_sell,419478046.0
1.06465,0.02,1.0647,1.0645999999999998,pending_sell,419478047.0
1.0647,0.02,1.06475,1.06465,pending_sell,419478048.0
1.06475,0.02,1.0648,1.0646999999999998,pending_sell,419478049.0
1.0648,0.02,1.06485,1.06475,pending_sell,419478051.0
1.06485,0.02,1.0649,1.0647999999999995,pending_sell,419478053.0
1.0649,0.02,1.06495,1.06485,pending_sell,419478054.0
1.0649499999999998,0.02,1.065,1.0648999999999995,pending_sell,419478055.0
1.065,0.02,1.06505,1.0649499999999998,pending_sell,419478058.0
